text,Toxic,MedicalTerminology,NonToxic,MinorityGroup,sentence_length
съвети давай ти не,0.0,0.0,1.0,0.0
по време на пандемия да бъдеш в къщата през цялото време беше малко трудно,0.0,0.0,1.0,0.0
министър и сега се връща обратно,0.0,0.0,1.0,0.0
аз живея на улица „багдад“ и си имам социален живот,0.0,0.0,1.0,0.0
доволни ли сте от качеството и отговарят ли си на размера,0.0,0.0,1.0,0.0
неуточнени и до днес остават методите на изпитване на този показател както и целевите стойности,0.0,0.0,1.0,0.0
без да припадам по баклави по принцип но тази на керем хич не е зле зяпам ги и двамата в продължение на минути и забравих каквото щях да казвам stuckouttonguewinkingeye колко подобре е като е с нормална прическа,0.0,0.0,1.0,0.0
наре нямаше представа какво значи нормално семейство никога не е имала такова,0.0,0.0,1.0,0.0
бебо е около      гр каза разходки секс и каквото се сетя        та вчера хубаво се разходихме хапнах си ананас и цяла вечер бях с контракции на    мин,0.0,1.0,0.0,0.0
с всяко покачване на инсулина обаче инсулиновите рецептори привикват и губят чувствителността си към него,0.0,0.0,1.0,0.0
това означава че вашите обменни процеси са се променили,0.0,0.0,1.0,0.0
а когато причините са свършили,0.0,0.0,1.0,0.0
козметичката на гуркова не е ли чувала за предпазни маски,0.0,0.0,1.0,0.0
продължителността на приема зависи от нуждите и ефекта който се търси може да се приемат       месеца първоначално докато се получи някакво облекчение след това всеки си преценява кога и как точно да ги приема,0.0,0.0,1.0,0.0
хесен и нрв имат ли вечерен час,0.0,0.0,1.0,0.0
всеки един от победителите чийто настоящ адрес е на територията на република българия има право да получи наградата си по куриер на предварително посочен от него адрес в рамките на четири   работни дни,0.0,0.0,1.0,0.0
времето за втасване може да варира от   до   часа и повече,0.0,0.0,1.0,0.0
синди крауфорд и ранди герберhttps www,0.0,0.0,1.0,0.0
но отмъщение не е точно в плана на двамата присъстваше изобличаване на аднан и демир унищожаване на яман и с плячката – обратно назад,0.0,0.0,1.0,0.0
о момичета кулинарните умения на съпружието са мнооого базови,0.0,0.0,1.0,0.0
казвали са че са много топли хора че не са толкова зле колкото се пише и обикновените хора са наясно че щатите имат апетити към природните им ресурси и прекрасна природа загубили са ваканционните си имоти там,0.0,0.0,1.0,0.0
в такъв случай просто ще остане за през седмицата,0.0,0.0,1.0,0.0
